Firstnames,Lastnames,Fathername,Mothername,Gender
MARIE 144,MUEZZINOGLU 641,OZKAN 43737,OYA 18242,F
SERMIYE 264,KOPRUCU 796,HAMDIN 1186,DILER 1341,F
VERDA 595,GULEZ 988,MUSTAFA 991402,MEVLUDE 29552,F
KINALI 261,KUYULDAR 793,GAFUR 1141,SALIC 1297,F
FATMI 125,CELIKAY 606,HABIB 6615,SEVAL 26888,F
SELDEN 115,SOYTAS 583,DUNDAR 2776,GULAY 89009,F
SOZEN 167,CELLEK 673,BISAR 1676,ZEFURE 477,F
SAFER 157,ASLI 659,DEVRAN 1239,NAZLI 48448,F
REVZETE 517,OLCUM 964,OZCAN 47837,MESUDE 15751,F
AYSEMIN 242,KAVAN 772,TURAN 50395,AYBEN 1111,F
TULUNAY 132,AZTEKIN 620,CAGLAR 12009,NESLIHAN 64356,F
GOKAN 1066,SAGLIK 6701,SALIH 156871,YASARE 1659,M
FATIH 180104,KURT 161860,ASIL 1096,YASEMIN 148890,M
MIRBEY 106,TEKEL 1829,VELI 58388,NALIN 221,M
SENAR 316,DENERI 839,DUNDAR 2776,SITTIKA 2147,F
YENER 8513,TATAR 17408,ABDILKADIR 511,MUYESSER 10254,M
CILLI 602,KABALAK 992,FAHREDDIN 1162,ADILE 32105,F
SAFYA 794,FEDAKAR 1052,CENGIZHAN 2489,SATILMIS 106,F
ESABIL 326,AKDERE 3529,SEYHO 2200,GULENAY 618,M
ERDIN 1139,BAYAZIT 6908,UYGUN 255,SADIMAN 1748,M
SEVINC 34318,BAGATUR 1625,BESIR 10335,AYTEKIN 191,F
AFIF 349,MUT 3669,OKAY 2724,ELENA 665,M
CEZAYIR 788,SONGUR 5712,UFUK 33963,NERMAN 1312,M
ABDULMELIK 587,GOKHAN 5025,MELIH 13195,MENSUR 1056,M
YAMAC 102,CON 1761,SAVAS 33354,ESYE 212,M
ILKAY 6526,YENER 15240,SADIN 471,FERDANE 8184,M
ZEYNEP 333301,ALGUR 1742,RIFAT 28168,MEYMENE 208,F
HASIBE 34569,MIDILLI 1627,KOKSAL 10366,AMSI 191,F
FAIDE 353,ERGISI 871,SIRRI 4522,GULKIZ 3160,F
FEYYAT 283,KURUOGLU 3259,GUNES 1436,LATIFA 548,M
HURREM 880,UN 6145,VEYSEL 51705,SIRVAN 1444,M
MUHSUN 103,BEKTASOGLU 1786,ZIYA 40347,SELMINAZ 216,M
SEVGUL 10613,KALMAZ 1487,SEZAYI 3810,HAMDUNE 171,F
BUKE 163,TASCILAR 669,SIYAMI 1476,SEMRA 101225,F
HATIRA 319,KUSAN 845,TEZCAN 2917,ECEM 2270,F
BIRNAZ 1157,CORTUK 1145,ASKIN 7074,HARSI 117,F
MIDHAT 170,YESILMEN 2400,YIGIT 6861,SURME 328,M
AYSI 954,KOSUCU 1094,TAHA 3807,MUSINE 111,F
FIRDEVS 24403,KOKCE 1583,EBUBEKIR 7967,BIRBEN 186,F
UGUR 1849,PASLI 1241,DENIZ 32900,GULSAFA 130,F
GULBIYE 1754,YAKISAN 1234,UMUT 29199,HUDAYET 129,F
GULFIZE 265,SENGOR 797,FERDA 1208,NARIYE 1360,F
URKIYE 2461,SAGBAN 1292,AYHAN 99641,HUNKER 138,F
ASIYA 3505,DIREKCI 1347,ABDULMUTALIP 1391,PUREN 146,F
EBUZEYT 113,ALOGLU 1908,MUSTAN 1196,GULENDE 235,M
GULLUZAR 8651,ULUISIK 1463,TUGAY 3270,ZADIFE 167,F
FENISE 160,ULASAN 664,USTUN 1352,SERAP 69500,F
KADIN 6167,AGIN 1422,FAYIK 2535,SEYDIYE 160,F
ZIYADDIN 561,SAMUR 4899,MECIT 11273,FEZA 1025,M
SURET 280,ERPOLAT 813,ALPEREN 1511,AKIFE 1552,F
SAIP 677,TURGAY 5424,TAMER 23980,YAZGULU 1204,M
SALIH 156877,CAKIR 145584,UYSAL 1075,SONGUL 132673,M
GAFFARI 405,ONAR 4065,ATALAY 4066,KAYMAK 764,M
ATNAN 611,GORUR 5150,HALUK 15709,EKIN 1096,M
FERIDE 62987,DAVRAN 1683,HIDIR 16545,MELEKSAN 200,F
YAMAN 1026,KARABOGA 6611,BULENT 98596,DURSIYE 1621,M
ESRANUR 273,GERDAN 804,SENTURK 1344,TURKMEN 1504,F
LEVON 107,SEVILMIS 1842,ISA 67351,PERDANE 223,M
FERDAN 203,ARAYICI 725,VURAL 7470,DEFNE 735,F
HAVER 238,MARTIN 768,DAVUT 39477,KOCER 1061,F
ZUBEYIT 409,PINARBASI 4084,FETTAH 4124,ZUMBUL 770,M
NEVRES 259,GULES 3066,HASMET 1171,MUBEYYEN 491,M
MEMIK 2191,KOMURCU 9287,ISRAIL 328,FAIKA 2980,M
MELEHE 225,SEVGEN 751,NURULLAH 18836,HALISA 916,F
SENER 12313,ERDEN 21887,DENIZHAN 581,ATIYE 14942,M
SUHAL 157,KAPAGAN 659,MENSUR 1236,NIHAL 47434,F
SEYFIYE 164,CANOZ 669,AGIT 1513,SELMA 116996,F
SERNAZ 416,KIRSAN 913,CUMHUR 10971,GULEN 5778,F
SAMIM 974,ORAN 6412,YAKUP 73875,AKIFE 1552,M
DURANA 428,DOKER 918,FAZLI 12480,BELKIS 6334,F
JANSET 136,BAGDU 628,EMRULLAH 18291,FADIME 160452,F
ZIVER 239,OZKALE 769,ZIYA 40347,RUKKIYE 1073,F
MEVLUT 145,CATKIN 644,HALIT 54064,NAFIYE 19798,F
SEBIHAT 479,DARCIN 945,BIROL 26562,MURADIYE 10671,F
ABDULLAH 202204,KARA 170400,GUREL 1102,DILEK 149863,M
BIKEM 117,MUTLUTURK 590,BARAN 3323,EMRIYE 10925,F
NAKSIYE 615,SENYER 996,MIRZE 1213,SAKINE 37782,F
IMAT 135,CAYLAN 2120,OKAY 2724,NESLIGUL 275,M
EMIRCAN 245,BAYCAN 2984,CENGIZ 91184,GULFERI 466,M
GULDAN 1236,TURPCU 1165,YILDIRAY 9241,ANUDE 119,F
USAME 346,DIKEN 3643,SUHA 2559,DESTEGUL 658,M
FERISTAH 2416,GUDUL 1290,MESUT 87974,TUNTUL 138,F
DEGER 342,YAGAN 3618,BAHADDIN 2525,ASHAN 648,M
SELMAN 10964,KARAASLAN 20604,RITVAN 558,GULSUN 13415,M
BESIME 5481,TEPECIK 1410,MUHIDDIN 2258,GULPEMBE 157,F
GULIYE 194,YIYIT 712,PASA 4837,SAHRA 666,F
NURKAN 409,ALKOC 907,TUFAN 10152,SAKIRE 5412,F
BIRSEL 8312,ARIC 1457,NASUH 3170,GALIYE 165,F
AMSE 1478,BALTALI 1196,HASIM 15887,ERINC 124,F
GARIBE 1044,OZYAVUZ 1114,OZAY 4991,GOVHER 114,F
MULLA 112,BIRGE 577,AYDEMIR 2189,NESRIN 50865,F
CELEBI 3028,BERK 10812,DILEK 371,NEFIZE 3916,M
SAFIYE 68271,HUNER 1696,TEKIN 17350,HATI 201,F
HACIBEKIR 113,TOKCAN 1908,ALISEYDI 1194,GULYUZ 235,M
BAKIZE 142,ELUSTU 638,SEVKET 37128,MURUVVET 16230,F
NURGUN 1379,YILDIZBAS 1183,FAZLI 12480,BAHANUR 122,F
HALDUN 3030,KARAAGAC 10813,BICAN 371,GULSEVIM 3947,M
RECEP 164175,ACAR 149568,NAYIF 1083,HAVVA 145853,M
ERDEM 958,YEDIKARDES 1095,GUROL 3902,HATUNE 111,F
OLGAY 291,SUREN 3306,BAKIR 1549,UMRIYE 561,M
ZULFUYE 1030,ADEM 1109,UTKU 4739,CEVAHIRE 113,F
ZINE 321,NARINC 846,GUNDUZ 2976,NEZIHAT 2293,F
GURAY 5085,BILICI 13685,VAHDI 439,PEMBE 6624,M
NEVRA 1251,ATMAN 1166,EDIP 9586,SADDET 120,F
NURFIYE 122,SISKO 600,ZIHNI 4693,LEMAN 18150,F
FURKAN 7157,YORULMAZ 15963,SUHEYL 487,IMRAN 8885,M
MARIFET 1075,KANDAZ 1121,CAGATAY 5507,SANAZ 115,F
CEYHAN 4089,TUFEKCI 12303,AGABEY 408,HAVANA 5288,M
ABDURAZAK 107,OZDERE 1844,EMRAH 71069,SIMAL 224,M
ERKAL 870,UZER 6079,TUNCAY 50391,SAHSENE 1434,M
CEMRE 697,GULGEN 1021,CENAP 1561,KALEMZER 101,F
TUNCAY 1006,TIMUCIN 1105,ABDULHAKIM 4311,REVSEN 113,F
SAFFET 9321,KOCABAS 18191,GULAGA 530,NAZIK 10924,M
CARULLAH 108,SEDEF 1854,SERDAR 78745,EHLINAZ 225,M
GURSES 141,YILDIZLI 2167,BERKAN 3190,AFIRE 285,M
MAHFUZE 448,ILIS 931,OGUZHAN 16830,GULDEREN 7858,F
SALIH 156878,CAKIR 145585,UYSAL 1076,SONGUL 132674,M
SANCAR 741,DIKER 5587,MUHITTIN 28747,NILIFER 1250,M
DIANA 183,UTAR 697,NASUH 3170,GURSEN 577,F
ZABIT 1671,COLAKOGLU 8435,CUDI 299,CIDEM 2472,M
NEZIRE 4363,MUJDE 1377,ALAITTIN 1819,BERIA 152,F
ABDULKUDUS 200,CAGLIYAN 2669,MAHIR 19311,ZURBIYE 386,M
ELBEYI 359,YILAN 3732,BIRKAN 2911,HIKMIYE 683,M
NADIYE 10066,YASAROGLU 1477,NUREDDIN 3703,AYSEREN 169,F
RITA 243,ELMACIOGLU 772,SELCUK 51702,MIYASER 1113,F
SAHMERDAN 126,BURSALI 2018,ALAITTIN 1819,GOCER 258,M
CASIM 2470,DEGER 9813,KUBULAY 340,NIL 3220,M
ABDULLA 754,KENAR 5625,SAKIR 30679,ANAKADIN 1269,M
FIKRET 3325,YENIDOGAN 1342,USTUN 1352,SANIHE 145,F
HAFISE 890,OZAT 1076,VEYIS 3259,MAHSIMA 109,F
REFAI 115,BENGI 1923,BAHA 1254,GULHADIYE 238,M
ELIFHAN 275,BOSTANOGLU 807,DEVRIS 1387,RENGIN 1488,F
ZEMIRHAN 107,SAYILIR 1834,NECATI 63014,HAVLA 222,M
SAYIN 175,CEVAHIR 2447,SINASI 8096,SAIZE 337,M
SAHSINE 1851,COT 1241,RIDVAN 33337,GUHAR 130,F
MAHMUDE 156,BECIT 658,ALISEYDI 1194,BAHAR 45253,F
NEBIHAT 610,UZUNOZ 995,HAMDIN 1186,NEZAHAT 35086,F
FADIMEANA 1558,YATMAZ 1207,NURULLAH 18836,NEVEL 126,F
KAZIME 751,HASCELIK 1038,RACI 2087,TAHSINE 104,F
RUMEYSA 1875,CELIKDEMIR 1243,SALIM 35153,AYTUG 130,F
ZEHIDE 942,RAMAZAN 1088,AYDOGAN 3722,YEMLIHA 111,F
DURMUSALI 645,OZEK 5278,CANER 18570,SAHNAZ 1154,M
EZEL 191,ERGENE 2594,MUMIN 15292,MUKERREME 370,M
SADDIK 127,GOKTEKIN 2032,NURHAN 1887,TANYA 261,M
AKHANIM 128,DUZTAS 613,NECAT 9029,BIRSEN 40640,F
AYTAN 1808,COPOGLU 1238,OGUZ 31112,NERGUZE 130,F
HACERE 3035,SAKRAK 1325,GOKCE 1247,SIDIKE 143,F
MULAZIM 938,ILGIN 6337,MEVLUT 65118,IRMAK 1524,M
VAHIDDIN 125,CAYCI 2006,SONMEZ 1724,CURIYE 256,M
ENGUL 234,HASLAK 763,YUCEL 31937,FEZA 1025,F
SERDAL 238,YALCINOZ 767,FUAT 37922,MIYESSER 1049,F
CEMANUR 615,GURTURK 996,BAHITTIN 1218,UMMU 38065,F
FIRAR 208,YASLI 2730,HAYRI 25655,HATIYCE 399,M
NAZLIGUL 337,ALMACI 860,OZHAN 3611,SIMGE 2652,F
SAYGIN 981,CELIKEL 6426,MUZAFFER 75073,GULHIZAR 1557,M
SERCAN 2504,DEMIRPOLAT 1295,ADEM 147768,ASUR 138,F
GULDAL 579,MORAN 985,HAKAN 156932,BEHIYE 26439,F
ZUMEYRA 102,KISIR 553,CEMAL 95670,FAZILET 11396,F
GULUFER 499,OZBULUT 956,ADIL 36004,EZGI 13480,F
IBADULLAH 104,BORU 1803,VOLKAN 47096,MIRYEM 217,M
SENCER 756,SURER 5628,SERVET 30728,AYTAC 1274,M
ZAHRA 2874,SAKAOGLU 1315,ERCIN 1193,TURCEYIN 142,F
BADEGUL 1445,ISSEVER 1192,KADRI 14831,NIHAR 124,F
SEYRANI 358,GULBAHAR 3716,KAGAN 2875,FERZIYE 680,M
GULHIS 162,TAYAN 667,CUMAALI 1405,HANIM 80272,F
NACIFE 103,TURKOL 556,MEHMET 1681870,GUNES 13603,F
PORI 100,DUZER 549,HARUN 61271,AYTEN 116534,F
ZEKIYA 162,BOZTURK 666,ZEKERIYYA 1395,RUKIYE 78221,F
HORE 174,YERGIN 684,NAFI 2340,GURCI 517,F
FERASET 237,OZKOCAK 766,HAMDI 36673,SAHIRE 1043,F
MELIYE 356,KAV 873,BERAT 4662,MUSLUME 3212,F
RAFETTIN 165,SUN 2368,ALICAN 6095,ADELI 320,M
OMERUL 432,BULAT 4213,RAMADAN 4890,RESIME 806,M
MAHMUT 168181,OZKAN 157210,EVRIM 1087,HACER 147172,M
DANIYE 227,ILARSLAN 754,ERTAN 21781,MUNUSE 946,F
IFFET 3262,OZLEM 1338,ABDULSEMET 1340,ZEYNEBA 145,F
RASEL 257,REISOGLU 790,YASAR 161295,GULHAYAT 1240,F
SEYYAR 146,KIRBIYIK 2214,ABDURAHMAN 3605,FAZIYE 293,M
TANSU 1608,KAYALI 8284,ZEKARIYA 294,SADIFE 2415,M
SAADET 59901,HALLAC 1680,SEFA 15846,HANZEY 199,F
MAFIYE 447,TEMUCIN 931,CUMALI 16728,SAIDE 7842,F
GULISE 289,OZTEMUR 820,NADI 1764,SAIBE 1667,F
RENGINAR 348,AYGUNES 867,BUGRA 4116,SAFURE 2943,F
HARIYE 339,KIZILDEMIR 862,AYDOGAN 3722,TEVRAT 2696,F
SEBA 238,TEKEOGLU 767,CEM 38124,GUHER 1053,F
MAMURE 554,CALDIRAN 972,ENGIN 71989,KUDRET 19423,F
SADEM 165,URESIN 2367,SENEL 6043,HATCE 320,M
ABDURRAZAK 852,AKYEL 6041,OZCAN 47837,AKIDE 1409,M
KALIP 256,TUG 3042,ZEYNI 1158,MUSKINAZ 489,M
GULENAZ 495,AKSOYLU 953,SAVAS 33354,SELIN 12997,F
FETULLAH 1960,TUTAR 8930,H.IBRAHIM 313,LAMIA 2733,M
SABIYE 1833,KAMILOGLU 1240,SERHAT 32017,MAZIYE 130,F
NURSAL 486,GOKYAR 948,COSKUN 28663,EMRIYE 10925,F
SEBIHAN 151,IME 652,BULENT 98596,ELIFE 30380,F
SELVIHAN 1764,BAYBURT 1234,ERGUN 29624,FETI 129,F
GULTEN 76297,CANDAS 1704,AKIN 18920,BILSER 202,F
GULAHMET 527,TASTEKIN 4731,NEBI 9121,FUGEN 965,M
BAHRETTIN 139,CETE 2153,CELEBI 3028,SAYIMA 282,M
SEZAVER 122,ONURSAL 599,TUNA 4599,CICEK 17610,F
FESIHA 111,AKKIR 576,HALEF 2107,NURGUL 45643,F
REVA 104,OZTASKIN 558,ZULKIF 1184,ZARIFE 15396,F
BENAL 482,HAVA 947,NECDET 28208,FATMANA 10808,F
FETIHE 163,IMAT 668,BAHAETTIN 1468,GULSUM 98541,F
SENA 3449,YESILOZ 1347,DEVRIS 1387,SAKIYE 146,F
IZET 208,GENCEL 2727,LUTFI 25373,NESLEHAN 399,M
MEHRICAN 686,EKREM 1017,SIYAMI 1476,UCGUL 101,F
MERAY 260,BOZASLAN 792,AHMET 832581,ASYE 1276,F
SEYLA 387,ADIN 895,ERMAN 7416,HERDEM 4259,F
NURTAC 1210,EKSIK 1158,EMIR 8662,LEMYA 119,F
GOKSU 293,DEMIRELLI 3321,IBIS 1608,GULACTI 565,M
HICRET 1179,SEYLAN 1151,GOKMEN 7665,NERMINE 118,F
KADUN 456,SEMEN 935,NIZAMETTIN 17957,SARE 8474,F
DANIYAL 134,AZIZOGLU 2109,ALAEDDIN 2570,GULTAC 274,M
NURVET 221,UNNU 747,GAZI 16275,HAMAIL 876,F
HATIBE 193,EZGI 710,SULTAN 4578,SABIHE 657,F
LALI 259,KUSAK 792,ISMAIL 417622,CAZIYE 1267,F
ISINSU 124,GEZGEN 604,MEDENI 5769,MEDIHA 23265,F
OSMAN 340201,OZDEMIR 331831,BEHLUL 1114,SEVIM 168464,M
NIMET 4029,BOZAN 12253,KOROGLU 404,GULUSAN 5232,M
SITI 357,FIDANOGLU 874,UTKU 4739,NIL 3220,F
GURAY 358,IDIN 875,NESIM 4909,FATIM 3294,F
TUMEN 126,SEYIS 2015,BERKANT 1790,NURSIDE 258,M
ZENNURIYE 213,GOKKUS 736,EVREN 10911,ORDEK 802,F
FANIYE 142,GOKCEL 638,HAMDI 36673,TUGCE 15995,F
NAZENDE 755,ARIS 1038,ORUC 2095,REVA 104,F
SARIBAN 419,DUZCAN 915,RECAI 11397,YURDANUR 5966,F
GOVHER 114,TECIMEN 582,ZULFUKAR 2601,NACIYE 74917,F
SAKIFE 108,ENGIZ 569,MURAD 1510,HUSNIYE 26610,F
RAKKUS 143,DOLEN 639,DAVUT 39477,GOZDE 16706,F
HACIRE 6900,KADAN 1436,VASFI 2803,GULHIS 162,F
ZALIFE 105,FAKILI 560,NASIF 1243,GOZDE 16706,F
KUTLU 907,OKTEN 6223,HAKKI 59666,TURKMEN 1504,M
FARIKA 409,DERYAL 909,ERSAN 10449,CAGLA 5514,F
BILNUR 232,YONTAR 762,ONDER 30475,NURI 1010,F
CUMA 246,OZCIFCI 777,NECATI 63014,YENIGUL 1136,F
MOLLA 177,KALKANLI 687,HASBI 2545,SEVEN 538,F
IMMI 785,ISKIN 1048,NAFI 2340,KARI 105,F
SEHZADE 275,GURGUN 806,TEMUR 1380,GULSENEM 1470,F
CEBRAIL 7322,METE 16183,SAMMAS 490,ESEN 9181,M
IMMUHAN 157,SELVITOPU 660,NASIF 1243,NAZIFE 50138,F
GURAL 257,DOLGUN 3056,NEDRET 1163,IHSANE 490,M
GULSEHRI 175,GOCERI 685,KANBER 2457,NURSIN 530,F
RIZKAT 107,TANRIKUT 567,ZEKERIYYA 1395,GULDANE 23195,F
IRSADI 108,PINARCI 1850,MUZAFFER 75073,SEVAY 225,M
SELMINAZ 216,YERAL 741,SENER 12313,ZENNUR 830,F
GEVRI 1258,KALKAVAN 1167,NAMIK 9686,NIFSICIHAN 120,F
MERIC 1124,GULCEMAL 1138,ILKAY 6526,ICLA 116,F
GAMER 139,OTUNC 633,CUNEYT 25657,SEMSI 12795,F
TAMASA 245,ERKEC 774,ONUR 56131,BEDEVI 1123,F
HUDEYDA 527,GURPINAR 4729,SEHMUS 9105,SEKIBE 962,M
MAAS 145,UNLUER 2210,MIKDAT 3508,ASLIGUL 292,M
NEVZAT 890,ISLI 1074,ABDULLATIF 3247,NEVRIZE 109,F
AYNEL 110,IBAR 575,BULUT 1934,KIYMET 41310,F
MAYNUR 572,ALDANMAZ 981,BEKIR 100567,NECMIYE 24711,F
CISEM 1133,OBA 1141,ATAKAN 6713,BELGEN 116,F
MEYLI 265,TANAS 797,ZEYNELABIDIN 1208,UMMUS 1356,F
ULMIYE 183,ULKEN 696,ABIT 3042,GULUS 573,F
GULIZ 2539,PAZAR 1297,MAHMUT 168177,NIYAZ 139,F
ALIASKER 302,TIGLI 3392,NADI 1764,CEZMINUR 580,M
HUSNI 110,CANSIZOGLU 574,SAHAP 1870,GAMZE 39666,F
KUBAR 701,SEKBAN 1024,IBIS 1608,FECRA 101,F
ISRAFIL 5586,KAHVECI 14300,ONAY 448,AYSENUR 7111,M
HAMO 512,ARKAN 4646,CAGRI 8679,VETHA 947,M
BOZI 203,SICAKYUZ 726,RUSTU 7472,SARIGUL 736,F
SABUR 141,ERCEVIK 635,ALPER 30006,SECIL 13894,F
ABDULHAMID 125,SOGANCI 2015,KADER 1788,PORSOR 258,M
SEMRE 190,TUNCIL 705,ABDUL 3932,GULENAY 618,F
ESIYE 299,GULEROGLU 826,MARUF 2109,ADUL 1840,F
MEKKIYE 1127,ERDIM 1139,HABIB 6615,ERVA 116,F
HASRET 1279,SEVIMLI 7395,DERMAN 268,ZULFU 2005,M
SERDIN 167,ALTUNEL 2380,SEYFULLAH 6305,GULAYDIN 323,M
MALIKE 1620,ABAYLI 1217,RAHMI 21988,NATALIYA 127,F
SEFIKE 1373,TARKAN 1181,MUCAHIT 12164,GULSINAN 122,F
ZULFUNAZ 392,KIZILER 898,SEYDI 7997,DURSUNE 4438,F
EFNAN 142,EVCAN 638,SONER 36678,SELVI 16025,F
MERIS 359,AYRIC 875,BEDIR 4921,FIKRET 3325,F
TURKUT 231,MARAS 2866,DURMUS 51867,GARIPSAH 437,M
RAMIZE 1546,CINOGLU 1204,SERCAN 17594,BALHANIM 125,F
ENES 10999,AYAN 20650,KAYAHAN 560,EZGI 13480,M
TEZER 273,AKAT 3189,AYGUN 1340,MINA 518,M
DEDE 4307,OZGEN 12892,TERCAN 421,NESIME 5691,M
HALIMI 942,OGEL 1088,ABDULSELAM 3732,YAZBAHAR 111,F
SERAB 199,BAKTIR 717,CIHANGIR 5702,HANIME 697,F
GURSUN 663,OGUTLU 1010,HAKI 1379,GULCAN 59668,F
DEMET 30195,KAHRAMANOGLU 1611,SAFFET 9321,GULRIZ 190,F
FERISTE 628,ARDAL 999,MULAYIM 1257,NEBAHAT 43303,F
AZIME 24045,TAC 1583,ALIM 7743,GULSUMA 186,F
BIRIVAN 178,DINLEMEZ 689,SUNAY 2734,VALIDE 550,F
GULTEREN 136,YUCELER 629,VEYSI 18350,OZLEM 165682,F
KIVANC 3048,GEYIK 10817,GULI 373,ZEYTUN 3995,M
DURUKAN 202,BATU 2685,SADETTIN 20730,CANSEN 388,M
BESSI 1026,KIZILELMA 1108,HURSIT 4647,FEREHNAZ 113,F
MUHARREM 103,DEMIRLER 556,GAFUR 1141,SENNUR 13733,F
GUNCE 175,KAYCI 685,ABDULBARI 2447,RAZ 530,F
ERSAN 10449,YESILYURT 20000,HELIM 544,KIRAZ 12877,M
MIHRALI 512,TURKKAN 4641,RAIF 8678,MUNUSE 946,M
AHIZAR 120,GORGUC 596,ABDULHALIM 4254,HAMIYET 15684,F
FERCAN 104,KEMERLI 559,ERSUN 1211,GULHANIM 15993,F
ERDAN 296,UCUNCU 3348,KAMER 1636,HAVANE 570,M
FERDA 1208,MERMER 7129,DUYGU 262,RUMEYSA 1875,M
SEMIRAN 252,CAPOGLU 783,SUKRU 82937,NAZIKAR 1200,F
ILGEN 146,KEY 646,OZGUR 61928,ESIN 22415,F
YASARIYE 3162,IZ 1331,HASRET 1279,MARIE 144,F
ZINNUR 628,CATAK 5218,ALAATTIN 17069,BILLUR 1123,M
GAZELE 102,CENDIK 554,MAHMUT 168177,SABIRE 12951,F
HAVISE 780,HURMA 1046,MIKTAT 2295,MESRULE 105,F
SIRINSAH 237,OZDEDE 765,ADIL 36004,KEKLIK 1040,F
SANSAL 167,YUMAK 2381,AZMI 6351,IRFANIYE 324,M
ZERGUL 164,KUCUKAY 669,NESIP 1495,TURKAN 102678,F
NATALI 182,GUZELAYDIN 695,BATUHAN 3013,DURSADE 570,F
EBUTALIP 175,UYUMAZ 2458,KURSAT 8357,SEMRAY 338,M
AZRA 359,UMAC 876,ARDA 4949,NEBILE 3332,F
ISILAY 1096,EKEMEN 1125,MEDENI 5769,DURMUSA 115,F
TALIB 126,BUYUKTAS 2017,BEYAZIT 1802,HANUME 258,M
SEHRIBAN 15013,ALPSOY 1522,HIZIR 4974,BACI 177,F
FERIZE 1257,SIVACI 1167,GOKSEL 9678,NILSUN 120,F
ALO 115,KOYBASI 1931,HASRET 1279,SONGUN 240,M
SEBILA 157,GIZLI 659,KUCUK 1237,ELMAS 47923,F
ERCIHAN 330,KARACAOGLU 3545,ABDULMUTTALIP 2254,SEVGIN 622,M
ELIFE 30380,YUCETURK 1612,BEDRI 9406,YASANUR 191,F
SECGIN 250,SAGSOZ 782,SEDAT 75752,HICRET 1179,F
SULE 22209,KIRLANGIC 1578,RAHIM 7307,IMAN 185,F
KELIME 714,KIZILOGLU 1029,ERSEL 1741,KEVE 102,F
DEVRAN 1239,TALAY 7219,SUNULLAH 264,SADAN 1901,M
SAHA 2065,YUCETAS 1268,YAVUZ 52126,GULSA 134,F
SEVGICAN 925,KARAGEDIK 1085,RAMIZ 3447,PERIYE 110,F
ADUL 1840,TAYSI 1241,ILKER 32384,HUDAVERDI 130,F
TERCAN 421,ASKAR 4142,SUREYYA 4378,IMMI 785,M
ERSOZ 118,SALLI 1949,GIRAY 1368,NAKIHAN 244,M
FIRGAT 119,KOSTU 594,SEZAYI 3810,NERGIZ 13628,F
NASIH 400,SIMSIR 4038,ECEVIT 3908,FURUZAN 751,M
SEMINUR 316,TUTUM 840,SERTAN 2782,GULSEHER 2164,F
MUNIRE 18138,YUKSELEN 1550,KEMALETTIN 5984,ILGUN 181,F
SAMIH 621,KALIN 5188,EREN 16695,SELMIN 1115,M
ZERGA 1421,MALLI 1190,MUTLU 14208,ESALET 123,F
ANA 1116,GELES 1134,BEDRETTIN 6211,SEYAHAT 116,F
ORHAN 134286,CAN 139542,MERIH 1068,KADRIYE 120629,M
SERIN 698,BOGATEKIN 1021,FERAMUZ 1564,IRADE 101,F
ADIYE 224,CANDOGAN 750,BAKI 18334,VEHIBE 913,F
NURSELEN 110,KARACIL 574,ZULFI 1837,UMMU 38065,F
ERGIN 14803,ENGIN 24713,AZAT 606,GIZEM 16908,M
VECIHA 604,KAYPAK 993,HUDAI 1164,HILAL 33780,F
AYSENA 275,ZEYTUNLU 808,ABDULMUTALIP 1391,GULAYSE 1489,F
SUSEN 433,PARILDAR 922,MUTLU 14208,ZENNURE 6816,F
KIVILCIM 473,UNAN 944,NEDIM 24935,SOLMAZ 10246,F
ENSAR 3243,AKKAS 11093,VELAT 378,AMINE 4167,M
BEYSEFA 133,BAYDUR 2103,KAMBER 2519,GULUN 272,M
FILIS 321,YENEL 847,HAN 2998,DEVRIM 2320,F
YASANUR 191,HASIMOGLU 705,SAHABETTIN 4037,BESNE 624,F
RESMIGUL 2203,UYKUN 1274,KAMIL 64091,CILI 135,F
AZMIYE 367,YILMAZCAN 882,MUJDAT 5577,AISE 3599,F
GULESIN 161,AKTUNC 665,HULISI 1380,NACIYE 74917,F
KEMAL 182000,KOC 167974,DOGUS 1097,ZEHRA 149357,M
MIMAR 220,KOCAER 2800,FUAT 37922,FEYHAN 421,M
MERAL 78784,DEMIRDOGEN 1708,ERDINC 19436,RENAN 203,F
LALEZER 105,KURUKAFA 562,ZIYATTIN 1258,OYA 18242,F
TURAY 317,BAHTIYAR 3470,RACI 2087,CAFIYE 607,M
GULFINAZ 512,YAYLAGUL 961,TAHSIN 43189,MENEKSE 15052,F
MASIDE 697,KURTGOZ 1021,BAKIR 1549,LORA 101,F
NESIMI 1642,DEMIRKAN 8368,SAHBETTIN 297,SENIZ 2458,M
FERUZ 174,KOSAN 2443,TUGRUL 8024,VERDEK 337,M
ERASLAN 197,NIZAM 2656,NECIP 17941,MUNUFE 381,M
TULU 136,ONGE 627,SEYHMUS 17143,KADRIYE 120624,F
TENZIRE 446,INEKCI 929,HIDIR 16545,ZINNET 7713,F
MUKADDEM 102,TAGIL 554,ORHAN 134281,GONCA 12290,F
MENEKSE 15052,ELDEM 1523,OZAY 4991,ASIBE 177,F
GULHIZAR 1557,ALAV 1206,CANER 18570,OLCA 126,F
GEMRA 200,UCTEPE 721,NAFIZ 6207,NURSAH 705,F
YENIGUL 1136,BOLLUK 1141,YIGIT 6861,NULGUN 117,F
NURHAK 169,KAYISOGLU 677,NURHAN 1887,SAIRE 492,F
CEVHER 1092,KARADELI 1124,CIHANGIR 5702,FIRDOVS 115,F
